country_name,iso_code,year,v2psbars_osp,v2exrescon_osp,v2exbribe_osp,v2lgotovst_osp,v2dlcountr_osp,v2juhcind_osp,v2jucorrdc_osp,v2jucomp_osp,v2clrspct_osp,v2clacjstw_osp,v2pepwrgen_osp,v2stcritrecadm_osp,v2cseeorgs_osp,v2csantimv_osp,v2csrlgcon_osp,v2mecenefi_osp,v2mebias_osp,v2mecorrpt_osp,v2pepwrort_osp,v2pepwrses_osp,v2pehealth_osp,v2cacamps_osp,v2caviol_osp,v2caautmob_osp,v2capolit_osp,v2cacritic_osp,v2smgovcapsec_osp,v2smpardom_osp,v2smfordom_osp,v2smpolsoc_osp,GDPPC
Mexico,MEX,2024,3.541,1.726,1.448,1.015,1.344,2.261,2.499,1.162,1.733,1.634,2.662,1.403,2.624,0.293,0.598,2.95,3.059,2.788,1.083,2.319,0.905,3.788,3.32,0.615,1.403,2.829,2.18,0.816,2.981,0.332,22039.6287019016
Suriname,SUR,2024,3.873,3.141,2.697,2.359,2.435,2.675,3.372,3.152,2.559,3.192,2.574,1.717,3.735,0.704,1.584,2.829,3.781,2.774,1.66,2.113,2.416,2.049,1.436,0.096,2.103,1.346,1.565,2.447,3.03,1.187,19179.1018321639
Sweden,SWE,2024,3.96,3.202,3.948,3.688,3.246,3.753,3.639,3.658,3.738,3.749,3.358,2.9,3.319,0.94,1.339,2.976,3.69,3.93,2.328,2.862,3.508,1.715,0.62,0.018,2.002,3.418,3.132,3.192,2.786,1.751,62978.9390459835
Switzerland,CHE,2024,3.947,3.677,3.846,3.25,3.755,3.42,3.526,3.685,3.919,3.88,3.015,2.594,3.685,0.113,0.986,2.977,3.842,3.9,2.482,2.718,3.826,1.023,0.137,0.043,2.618,2.698,3.051,2.994,3.896,0.604,82286.1801896488
Ghana,GHA,2024,3.914,2.352,1.032,3.075,2.487,3.001,1.239,3.096,1.145,2.75,1.977,1.634,3.617,1.233,1.555,2.902,3.429,3.053,1.932,2.196,2.012,1.861,1.857,0.041,2.529,3.632,1.639,2.093,3.46,0.446,7055.62496009323
South Africa,ZAF,2024,3.943,2.533,1.308,3.467,3.654,3.265,2.61,3.442,2.826,2.726,2.349,2.151,3.751,1.409,0.999,2.879,2.789,3.393,1.944,2.694,2.049,2.193,1.442,0.048,3.365,3.624,2.149,2.973,2.608,0.81,13597.6538495998
Japan,JPN,2024,3.927,3.156,3.194,3.099,4.199,2.619,3.673,3.313,3.122,3.548,1.883,2.791,3.855,0.088,0.816,2.962,3.055,3.607,1.461,2.788,3.875,0.861,0.65,0.046,1.666,2.931,2.826,2.898,2.316,3.048,46106.9229230044
Russia,RUS,2024,2.214,1.349,0.581,0.231,0.151,0.156,1.865,0.82,1.167,1.575,1.196,1.928,0.122,0.211,1.483,0.559,0.661,0.097,0.063,0.666,2.199,3.296,2.673,2.601,0.726,1.245,3.214,0.397,2.591,2.766,41704.7109375
Albania,ALB,2024,3.89,2.61,1.358,2.613,1.279,2.549,2.413,2.736,2.589,3.079,2.24,1.06,3.093,0.813,0.5,2.68,3.178,1.746,1.647,1.267,2.825,1.761,1.735,0.234,1.807,2.118,1.038,2.17,3.083,1.321,21641.0733223921
Egypt,EGY,2024,1.912,2.437,1.445,0.913,1.133,2.619,1.529,1.567,0.988,2.252,1.096,1.178,0.492,0.465,0.362,1.47,1.889,0.613,0.099,1.573,1.007,2.216,0.266,0.327,0.727,0.387,3.083,1.187,2.447,0.652,16798.151577864
